date,requests,pageViews,uniques
2023-05-21,48984,3226,2293
2023-05-22,64159,4842,2918
2023-05-23,64366,4679,2988
2023-05-24,63653,4593,2889
2023-05-25,57669,3914,2688
2023-05-26,55689,3743,2561
2023-05-27,42853,2565,2122
2023-05-28,47447,3613,2227
2023-05-29,64940,4641,2776
2023-05-30,59380,3883,2748
2023-05-31,58106,4154,2595
2023-06-01,56928,4108,2669
2023-06-02,65221,5301,2703
2023-06-03,47083,3603,2127
2023-06-04,51395,3575,2112
2023-06-05,66334,4804,2746
2023-06-06,62063,4486,2748
2023-06-07,60118,4492,2634
2023-06-08,54744,4231,2456
2023-06-09,50776,3781,2507
2023-06-10,42499,3287,1965
2023-06-11,52394,5306,1893
2023-06-12,62534,5853,2341
2023-06-13,61637,4793,2589
2023-06-14,53641,4217,2459
2023-06-15,52431,3901,2456
2023-06-16,47963,3583,2234
2023-06-17,37750,2549,1904
2023-06-18,39809,3026,1779
2023-06-19,53769,4019,2362
2023-06-20,54779,4180,2405
2023-06-21,47463,3448,2183
2023-06-22,45752,3379,2212
2023-06-23,42239,3236,2149
2023-06-24,34785,2841,1764
2023-06-25,35643,2812,1613
2023-06-26,46553,3668,2154
2023-06-27,52160,3466,2339
2023-06-28,47656,4176,2200
2023-06-29,43987,3389,2276
2023-06-30,40893,3041,2201
2023-07-01,38091,4042,2634
2023-07-02,36062,3148,1895
2023-07-03,47958,3888,2318
2023-07-04,47793,3938,2418
2023-07-05,46762,3800,2274
2023-07-06,45483,3894,2198
2023-07-07,42790,3688,2107
2023-07-08,35071,3276,1830
2023-07-09,37586,3272,1946
2023-07-10,48614,3952,2193
2023-07-11,46649,3932,2474
2023-07-12,43135,3717,2265
2023-07-13,40842,3773,2150
2023-07-14,38878,3676,2439
2023-07-15,32110,2924,1812
2023-07-16,33810,3270,1975
2023-07-17,42613,3534,2284
2023-07-18,41151,3392,2279
2023-07-19,38823,3380,2288
2023-07-20,38130,3298,2087
2023-07-21,36398,3144,2224
2023-07-22,39017,8090,1943
2023-07-23,30408,2757,1799
2023-07-24,37184,3146,2113
2023-07-25,39900,3515,2117
2023-07-26,37580,3433,2164
2023-07-27,38260,3487,2092
2023-07-28,35034,3179,2117
2023-07-29,30264,3253,1807
2023-07-30,32425,2955,1767
2023-07-31,38121,3445,2277
2023-08-01,41295,3668,2490
2023-08-02,38265,3645,2391
2023-08-03,41025,4161,2152
2023-08-04,32915,3382,2019
2023-08-05,29327,3708,1787
2023-08-06,31043,2904,1776
2023-08-07,39648,5399,2035
2023-08-08,37655,3331,2305
2023-08-09,35138,3223,2191
2023-08-10,43884,4932,2198
2023-08-11,36273,3025,2327
2023-08-12,35326,2846,1851
2023-08-13,38377,3338,1816
2023-08-14,60655,4438,2646
2023-08-15,65378,4598,2813
2023-08-16,58675,4097,2612
2023-08-17,49615,3921,2501
2023-08-18,45915,3804,2288
2023-08-19,306777,20972,16881
2023-08-20,91467,6624,5304
2023-08-21,84406,6279,4459
2023-08-22,57385,4776,3027
2023-08-23,54512,4292,2707
2023-08-24,49146,5053,2634
2023-08-25,44542,5204,2364
2023-08-26,35374,4385,1665
2023-08-27,39711,6371,1604
2023-08-28,47834,4586,2132
2023-08-29,51841,4214,2409
2023-08-30,49976,4333,2546
2023-08-31,51660,5077,2478
2023-09-01,42490,3774,2394
2023-09-02,34725,2771,2142
